EmpID,StartDate,ExitDate,JobFamily,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,DivisionGroup,DOB,Region,JobFunctionGroup,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,IsActive,Age,TenureDays,SeniorityLevel,TenureYears
3560,2022-06-01,Present,Production,Wanda Ross DDS,MSC,Active,Contract,Zone C,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1972,Northeast,Field Operations,Female,2127,Asian,Divorced,exceeds,4,True,52.99804661092752,1133,Entry,3.1041095890410957
3648,2022-02-23,Present,Production,Peter Smith,MSC,Active,Contract,Zone A,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Female,76615,Other,Divorced,exceeds,4,True,54.55638710213046,1231,Mid,3.372602739726027
3649,2022-08-13,Present,Production,Stephen Green,TNS,Active,Contract,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Field Operations,Female,26602,White,Married,exceeds,4,True,57.06776180698152,1060,Mid,2.904109589041096
3654,2022-11-23,Present,Production,Jody Cox,PYZ,Active,Part-Time,Zone A,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Field Operations,Male,17975,Asian,Divorced,exceeds,4,True,54.37625953233115,958,Entry,2.6246575342465754
3656,2019-12-15,Present,Production,Darlene Green,TNS,Active,Part-Time,Zone B,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Labor & Site Work,Male,72523,Hispanic,Divorced,exceeds,5,True,55.45131202763427,2032,Entry,5.567123287671233
3704,2019-01-25,2021-10-26,Production,April Stevens,CCDR,Active,Full-Time,Zone C,Part-Time,Involuntary,Message firm social daughter third ready.,Production       ,Field Engineering / Operations,1970,Northeast,Other,Female,20993,Asian,Married,exceeds,5,False,49.40177960301163,1005,Entry,2.7534246575342465
3708,2020-08-21,2022-09-20,Production,Morgan Smith,SVG,Active,Full-Time,Zone C,Part-Time,Resignation,Finally feeling often some.,Production       ,Field Engineering / Operations,1972,Northeast,Engineering,Male,13899,Black,Married,exceeds,4,False,53.11112508195258,760,Entry,2.0821917808219177
3709,2019-02-04,2023-04-17,Production,Donald Powell,PYZ,Active,Full-Time,Zone C,Part-Time,Voluntary,Provide late phone school score sound growth.,Production       ,Field Engineering / Operations,1970,Northeast,Other,Male,44907,Black,Divorced,exceeds,5,False,55.31110365169737,1533,Entry,4.2
2100,2022-09-13,Present,Production,Tracey Jackson,CCDR,Active,Contract,Zone A,Temporary,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Project / Site Management,Female,26880,Other,Divorced,exceeds,4,True,53.94926321067864,1029,Entry,2.819178082191781
2103,2020-10-02,Present,Production,Stephen Lester,MSC,Active,Contract,Zone A,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1973,Northeast,Project / Site Management,Female,49149,Asian,Widowed,exceeds,5,True,51.87199650326727,1740,Entry,4.767123287671233
2109,2021-02-23,Present,Production,Jeremiah Harper,BPC,Active,Part-Time,Zone C,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1971,Northeast,Field Operations,Female,51689,Other,Divorced,exceeds,5,True,53.722148866251786,1596,Entry,4.372602739726028
2110,2021-06-04,Present,Production,Jessica Shaffer,CCDR,Active,Contract,Zone C,Temporary,Unk,Active,Production       ,General Operations,1970,Northeast,Executive & Leadership,Female,97553,Black,Single,exceeds,4,True,54.72707635610629,1495,Entry,4.095890410958904
2114,2019-08-24,Present,Production,Caitlin Stokes,NEL,Active,Contract,Zone C,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1968,Northeast,Project / Site Management,Female,38475,White,Single,exceeds,4,True,56.54037838552495,2145,Mid,5.876712328767123
2118,2020-01-28,Present,Production,Sherry Le,SVG,Active,Part-Time,Zone C,Temporary,Unk,Active,Production       ,Project Management,1970,Northeast,Project / Site Management,Female,41529,White,Widowed,exceeds,5,True,24.648870636550303,1988,Mid,5.446575342465754
2119,2019-03-29,Present,Production,Susan Smith,EW,Active,Part-Time,Zone A,Temporary,Unk,Active,Production       ,General Operations,1970,Northeast,Project / Site Management,Female,72491,White,Married,exceeds,5,True,83.80561259411363,2293,Mid,6.282191780821917
2121,2020-08-20,Present,Production,Angel Rhodes,TNS,Active,Part-Time,Zone A,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Other,Female,12265,Asian,Married,exceeds,5,True,26.80355920602328,1783,Mid,4.884931506849315
2125,2019-08-09,Present,Production,Sean Ayers,EW,Active,Full-Time,Zone B,Part-Time,Unk,Active,Production       ,Field Engineering / Operations,1970,Northeast,Project / Site Management,Female,1514,White,Divorced,exceeds,4,True,55.06299038748723,2160,Entry,5.917808219178082
2148,2021-07-30,Present,Production,Andrea Morales,PL,Active,Full-Time,Zone A,Full-Time,Unk,Active,Production       ,Field Engineering / Operations,1972,Northeast,Other,Female,75427,Black,Widowed,exceeds,5,True,53.24961170585871,1439,Entry,3.9424657534246577
2149,2021-05-02,2023-06-27,Production,Charles Williams,PYZ,Voluntarily Terminated,Full-Time,Zone A,Temporary,Involuntary,Development produce health drop should.,Production       ,Project Management,1970,Northeast,Project / Site Management,Female,90636,White,Single,exceeds,5,False,54.514512903106,786,Entry,2.1534246575342464
2153,2019-06-15,Present,Production,Isaiah Giles,BPC,Active,Contract,Zone C,Part-Time,Unk,Active,Production       ,Project Management,1970,Northeast,Admin & Support,Female,58613,Other,Married,exceeds,4,True,80.80492813141684,2215,Entry,6.068493150684931
