Row_Index,Column,Dataset_1_Value,Dataset_2_Value
0,Age,56.19164955509925,29
0,DOB,1969-10-07,1994
0,JobFunctionGroup,Finance & Analysis,Field Operations
0,TenureDays,2279,1563
1,Age,,29
1,DOB,,1994
1,JobFunctionGroup,Labor & Site Work,Field Operations
1,TenureDays,1039,323
2,Age,34.195756331279945,28
2,DOB,1991-10-06,1995
2,JobFunctionGroup,Admin & Support,Project / Site Management
2,TenureDays,2563,1847
3,Age,27.7015742642026,28
3,DOB,1998-04-04,1995
3,JobFunctionGroup,Admin & Support,Project / Site Management
3,TenureDays,1639,923
4,Age,,28
4,DOB,,1995
4,JobFunctionGroup,Labor & Site Work,Project / Site Management
4,TenureDays,2362,1646
5,Age,76.70362765229295,28
5,DOB,1949-04-03,1995
5,JobFunctionGroup,Other,Project / Site Management
5,TenureDays,2160,1444
6,Age,83.46064339493498,28
6,DOB,1942-07-01,1995
6,IsActive,False,True
6,JobFunctionGroup,Field Operations,Project / Site Management
7,Age,68.77754962354551,28
7,DOB,1957-03-07,1995
7,IsActive,False,True
7,JobFunctionGroup,Engineering,Project / Site Management
8,Age,,28
8,DOB,,1995
8,JobFunctionGroup,Executive & Leadership,Project / Site Management
8,TenureDays,2677,1961
9,Age,76.09582477754962,28
9,DOB,1949-11-11,1995
9,IsActive,False,True
9,JobFunctionGroup,Engineering,Project / Site Management
10,Age,,28
10,DOB,,1995
10,JobFunctionGroup,Field Operations,Project / Site Management
10,TenureDays,865,149
11,Age,77.69472963723477,28
11,DOB,1948-04-06,1995
11,IsActive,False,True
11,JobFunctionGroup,Field Operations,Project / Site Management
12,Age,,28
12,DOB,,1995
12,IsActive,False,True
12,JobFunctionGroup,Other,Project / Site Management
13,Age,74.11088295687885,28
13,DOB,1951-11-06,1995
13,IsActive,False,True
13,JobFunctionGroup,Finance & Analysis,Project / Site Management
14,Age,,28
14,DOB,,1995
14,JobFunctionGroup,Field Operations,Project / Site Management
14,TenureDays,2424,1708
15,Age,,28
15,DOB,,1995
15,IsActive,False,True
15,JobFunctionGroup,Labor & Site Work,Project / Site Management
16,Age,31.690622861054077,28
16,DOB,1994-04-08,1995
16,IsActive,False,True
17,Age,,28
17,DOB,,1995
17,IsActive,False,True
17,JobFunctionGroup,Executive & Leadership,Project / Site Management
18,Age,40.02464065708419,28
18,DOB,1985-12-07,1995
18,TenureDays,1795,1079
19,Age,29.626283367556468,28
19,DOB,1996-05-01,1995
19,JobFunctionGroup,Field Operations,Project / Site Management
19,TenureDays,1575,859
20,Age,,28
20,DOB,,1995
20,JobFunctionGroup,Field Operations,Project / Site Management
21,Age,67.59753593429159,28
21,DOB,1958-05-12,1995
21,JobFunctionGroup,Other,Project / Site Management
22,Age,,28
22,DOB,,1995
22,JobFunctionGroup,Field Operations,Project / Site Management
23,Age,31.34839151266256,28
23,DOB,1994-08-11,1995
23,IsActive,False,True
23,JobFunctionGroup,Field Operations,Project / Site Management
24,Age,,28
24,DOB,,1995
24,IsActive,False,True
24,JobFunctionGroup,Field Operations,Project / Site Management
25,Age,78.94045174537987,28
25,DOB,1947-01-07,1995
25,TenureDays,1134,418
26,Age,43.6933607118412,28
26,DOB,1982-04-07,1995
26,JobFunctionGroup,Engineering,Project / Site Management
26,TenureDays,1160,444
27,Age,,28
27,DOB,,1995
27,TenureDays,1192,476
28,Age,,28
