Dataset,Model,Without,With,Delta
Synthetic Workforce,LR,0.7183,0.6807,-0.0376
Synthetic Workforce,RF,0.8550,0.8500,-0.0050
Synthetic Workforce,XGB,0.8490,0.8507,+0.0017
IBM HR Attrition,LR,0.7177,0.7177,0.0000
IBM HR Attrition,RF,0.8537,0.8537,0.0000
IBM HR Attrition,XGB,0.8646,0.8646,0.0000
Adult Census Income,LR,0.7359,0.7497,+0.0138
Adult Census Income,RF,0.8588,0.8508,-0.0080
Adult Census Income,XGB,0.8737,0.8735,-0.0002
Bank Marketing,LR,0.7972,0.8254,+0.0282
Bank Marketing,RF,0.9025,0.9032,+0.0007
Bank Marketing,XGB,0.9079,0.9090,+0.0011
Telco Customer Churn,LR,0.7454,0.7450,-0.0004
Telco Customer Churn,RF,0.7907,0.7901,-0.0006
Telco Customer Churn,XGB,0.7971,0.7972,+0.0001
