outcome,model,class,tp,fp,fn,tn,precision,recall,f1,fpr,fnr,accuracy
is_terminated,LR_without,0,1846,79,767,308,0.959,0.7065,0.8136,0.2041,0.2935,0.718
is_terminated,LR_without,1,308,767,79,1846,0.2865,0.7959,0.4213,0.2935,0.2041,0.718
is_terminated,LR_with,0,1889,74,724,313,0.9623,0.7229,0.8256,0.1912,0.2771,0.734
is_terminated,LR_with,1,313,724,74,1889,0.3018,0.8088,0.4396,0.2771,0.1912,0.734
is_terminated,RF_without,0,2503,331,110,56,0.8832,0.9579,0.919,0.8553,0.0421,0.853
is_terminated,RF_without,1,56,110,331,2503,0.3373,0.1447,0.2025,0.0421,0.8553,0.853
is_terminated,RF_with,0,2494,322,119,65,0.8857,0.9545,0.9188,0.832,0.0455,0.853
is_terminated,RF_with,1,65,119,322,2494,0.3533,0.168,0.2277,0.0455,0.832,0.853
is_terminated,XGB_without,0,2520,350,93,37,0.878,0.9644,0.9192,0.9044,0.0356,0.8523
is_terminated,XGB_without,1,37,93,350,2520,0.2846,0.0956,0.1431,0.0356,0.9044,0.8523
is_terminated,XGB_with,0,2519,345,94,42,0.8795,0.964,0.9198,0.8915,0.036,0.8537
is_terminated,XGB_with,1,42,94,345,2519,0.3088,0.1085,0.1606,0.036,0.8915,0.8537
PerfScore,LR_without,0,41,907,52,2000,0.0432,0.4409,0.0788,0.312,0.5591,0.6803
PerfScore,LR_without,1,27,422,150,2401,0.0601,0.1525,0.0863,0.1495,0.8475,0.8093
PerfScore,LR_without,2,632,66,1729,573,0.9054,0.2677,0.4132,0.1033,0.7323,0.4017
PerfScore,LR_without,3,143,762,226,1869,0.158,0.3875,0.2245,0.2896,0.6125,0.6707
PerfScore,LR_with,0,38,660,55,2247,0.0544,0.4086,0.0961,0.227,0.5914,0.7617
PerfScore,LR_with,1,72,693,105,2130,0.0941,0.4068,0.1529,0.2455,0.5932,0.734
PerfScore,LR_with,2,704,67,1657,572,0.9131,0.2982,0.4496,0.1049,0.7018,0.4253
PerfScore,LR_with,3,126,640,243,1991,0.1645,0.3415,0.222,0.2433,0.6585,0.7057
PerfScore,RF_without,0,0,21,93,2886,0.0,0.0,0.0,0.0072,1.0,0.962
PerfScore,RF_without,1,4,59,173,2764,0.0635,0.0226,0.0333,0.0209,0.9774,0.9227
PerfScore,RF_without,2,2186,573,175,66,0.7923,0.9259,0.8539,0.8967,0.0741,0.7507
PerfScore,RF_without,3,28,129,341,2502,0.1783,0.0759,0.1065,0.049,0.9241,0.8433
PerfScore,RF_with,0,1,22,92,2885,0.0435,0.0108,0.0172,0.0076,0.9892,0.962
PerfScore,RF_with,1,7,57,170,2766,0.1094,0.0395,0.0581,0.0202,0.9605,0.9243
PerfScore,RF_with,2,2195,564,166,75,0.7956,0.9297,0.8574,0.8826,0.0703,0.7567
PerfScore,RF_with,3,31,123,338,2508,0.2013,0.084,0.1185,0.0468,0.916,0.8463
PayZone_encoded,LR_without,0,259,546,803,1392,0.3217,0.2439,0.2775,0.2817,0.7561,0.5503
PayZone_encoded,LR_without,1,315,748,670,1267,0.2963,0.3198,0.3076,0.3712,0.6802,0.5273
PayZone_encoded,LR_without,2,335,797,618,1250,0.2959,0.3515,0.3213,0.3894,0.6485,0.5283
PayZone_encoded,LR_with,0,317,701,745,1237,0.3114,0.2985,0.3048,0.3617,0.7015,0.518
PayZone_encoded,LR_with,1,339,762,646,1253,0.3079,0.3442,0.325,0.3782,0.6558,0.5307
PayZone_encoded,LR_with,2,257,624,696,1423,0.2917,0.2697,0.2803,0.3048,0.7303,0.56
PayZone_encoded,RF_without,0,388,705,674,1233,0.355,0.3653,0.3601,0.3638,0.6347,0.5403
PayZone_encoded,RF_without,1,318,670,667,1345,0.3219,0.3228,0.3224,0.3325,0.6772,0.5543
PayZone_encoded,RF_without,2,277,642,676,1405,0.3014,0.2907,0.2959,0.3136,0.7093,0.5607
PayZone_encoded,RF_with,0,389,714,673,1224,0.3527,0.3663,0.3594,0.3684,0.6337,0.5377
PayZone_encoded,RF_with,1,317,637,668,1378,0.3323,0.3218,0.327,0.3161,0.6782,0.565
PayZone_encoded,RF_with,2,312,631,641,1416,0.3309,0.3274,0.3291,0.3083,0.6726,0.576
is_minority_dept,LR_without,0,755,415,1075,755,0.6453,0.4126,0.5033,0.3547,0.5874,0.5033
is_minority_dept,LR_without,1,755,1075,415,755,0.4126,0.6453,0.5033,0.5874,0.3547,0.5033
is_minority_dept,LR_with,0,1085,601,745,569,0.6435,0.5929,0.6172,0.5137,0.4071,0.5513
is_minority_dept,LR_with,1,569,745,601,1085,0.433,0.4863,0.4581,0.4071,0.5137,0.5513
is_minority_dept,RF_without,0,1341,746,489,424,0.6425,0.7328,0.6847,0.6376,0.2672,0.5883
is_minority_dept,RF_without,1,424,489,746,1341,0.4644,0.3624,0.4071,0.2672,0.6376,0.5883
is_minority_dept,RF_with,0,1344,730,486,440,0.648,0.7344,0.6885,0.6239,0.2656,0.5947
is_minority_dept,RF_with,1,440,486,730,1344,0.4752,0.3761,0.4198,0.2656,0.6239,0.5947
is_minority_dept,XGB_without,0,1474,791,356,379,0.6508,0.8055,0.7199,0.6761,0.1945,0.6177
is_minority_dept,XGB_without,1,379,356,791,1474,0.5156,0.3239,0.3979,0.1945,0.6761,0.6177
is_minority_dept,XGB_with,0,1513,801,317,369,0.6538,0.8268,0.7302,0.6846,0.1732,0.6273
is_minority_dept,XGB_with,1,369,317,801,1513,0.5379,0.3154,0.3976,0.1732,0.6846,0.6273
SeniorityLevel,LR_without,0,1901,43,399,657,0.9779,0.8265,0.8959,0.0614,0.1735,0.8527
SeniorityLevel,LR_without,1,555,5,101,2339,0.9911,0.846,0.9128,0.0021,0.154,0.9647
SeniorityLevel,LR_without,2,34,462,10,2494,0.0685,0.7727,0.1259,0.1563,0.2273,0.8427
SeniorityLevel,LR_with,0,1963,21,337,679,0.9894,0.8535,0.9164,0.03,0.1465,0.8807
SeniorityLevel,LR_with,1,551,33,105,2311,0.9435,0.8399,0.8887,0.0141,0.1601,0.954
SeniorityLevel,LR_with,2,39,393,5,2563,0.0903,0.8864,0.1639,0.1329,0.1136,0.8673
SeniorityLevel,RF_without,0,2267,126,33,574,0.9473,0.9857,0.9661,0.18,0.0143,0.947
SeniorityLevel,RF_without,1,571,30,85,2314,0.9501,0.8704,0.9085,0.0128,0.1296,0.9617
SeniorityLevel,RF_without,2,1,5,43,2951,0.1667,0.0227,0.04,0.0017,0.9773,0.984
SeniorityLevel,RF_with,0,2265,65,35,635,0.9721,0.9848,0.9784,0.0929,0.0152,0.9667
SeniorityLevel,RF_with,1,595,35,61,2309,0.9444,0.907,0.9253,0.0149,0.093,0.968
SeniorityLevel,RF_with,2,40,0,4,2956,1.0,0.9091,0.9524,0.0,0.0909,0.9987
