outcome,model,variant,n_configs,accuracy,balanced_accuracy,f1,precision,recall,mcc,roc_auc,pr_auc,brier,ece,accuracy_cv,accuracy_std,balanced_accuracy_cv,f1_cv,f1_std,precision_cv,recall_cv,mcc_cv,roc_auc_cv,roc_auc_std,pr_auc_cv,brier_cv,ece_cv,accuracy_folds,roc_auc_folds,cm_total
PayZone,LR,with_int,1,0.3087,0.3092,0.3072,,,,,,,,0.3087,0.0107,0.3092,0.3072,0.0106,,,,,,,,,"[0.3, 0.2983, 0.3067, 0.31, 0.3283]",[],3000
PayZone,LR,without_int,1,0.3063,0.3083,0.3038,,,,,,,,0.3063,0.0105,0.3083,0.3038,0.0085,,,,,,,,,"[0.305, 0.325, 0.2983, 0.3083, 0.295]",[],3000
PayZone,RF,with_int,1,0.332,0.3309,0.3317,,,,,,,,0.332,0.0145,0.3309,0.3317,0.0147,,,,,,,,,"[0.3083, 0.3367, 0.3233, 0.345, 0.3467]",[],3000
PayZone,RF,without_int,1,0.3247,0.3238,0.3244,,,,,,,,0.3247,0.0121,0.3238,0.3244,0.0123,,,,,,,,,"[0.315, 0.3317, 0.33, 0.3067, 0.34]",[],3000
PerfScore,LR,with_int,1,0.2887,0.36,0.3629,,,,,,,,0.2887,0.025,0.36,0.3629,0.0311,,,,,,,,,"[0.3167, 0.2633, 0.28, 0.32, 0.2633]",[],3000
PerfScore,LR,without_int,1,0.2783,0.3087,0.3589,,,,,,,,0.2783,0.0294,0.3087,0.3589,0.0343,,,,,,,,,"[0.3283, 0.265, 0.27, 0.2883, 0.24]",[],3000
PerfScore,RF,with_int,1,0.739,0.2609,0.69,,,,,,,,0.739,0.0079,0.2609,0.69,0.0038,,,,,,,,,"[0.7433, 0.7367, 0.7283, 0.7517, 0.735]",[],3000
PerfScore,RF,without_int,1,0.7413,0.256,0.6876,,,,,,,,0.7413,0.0069,0.256,0.6876,0.0034,,,,,,,,,"[0.7467, 0.7433, 0.7317, 0.75, 0.735]",[],3000
SeniorityLevel,LR,with_int,1,0.856,0.8916,0.9044,,,,,,,,0.856,0.0108,0.8916,0.9044,0.0072,,,,,,,,,"[0.8583, 0.865, 0.8683, 0.85, 0.8383]",[],3000
SeniorityLevel,LR,without_int,1,0.8123,0.7618,0.8767,,,,,,,,0.8123,0.0452,0.7618,0.8767,0.0293,,,,,,,,,"[0.7233, 0.845, 0.8417, 0.8233, 0.8283]",[],3000
SeniorityLevel,RF,with_int,1,0.967,0.911,0.9666,,,,,,,,0.967,0.0027,0.911,0.9666,0.0027,,,,,,,,,"[0.9717, 0.9683, 0.965, 0.965, 0.965]",[],3000
SeniorityLevel,RF,without_int,1,0.9473,0.6269,0.9409,,,,,,,,0.9473,0.0047,0.6269,0.9409,0.0044,,,,,,,,,"[0.9483, 0.9483, 0.9417, 0.955, 0.9433]",[],3000
is_minority_dept,LR,with_int,1,0.5437,0.5329,0.452,0.4267,0.4838,0.0651,0.5554,0.456,0.2473,0.1088,0.5437,0.0182,0.5329,0.452,0.0128,0.4267,0.4838,0.0651,0.5554,0.0167,0.456,0.2473,0.1088,"[0.535, 0.545, 0.5783, 0.5317, 0.5283]","[0.5572, 0.5598, 0.581, 0.5292, 0.55]",3000
is_minority_dept,LR,without_int,1,0.5003,0.5259,0.4998,0.4104,0.6419,0.0519,0.5502,0.4325,0.2485,0.1088,0.5003,0.0252,0.5259,0.4998,0.0251,0.4104,0.6419,0.0519,0.5502,0.0272,0.4325,0.2485,0.1088,"[0.46, 0.5183, 0.5333, 0.5017, 0.4883]","[0.5214, 0.5367, 0.5985, 0.5341, 0.5604]",3000
is_minority_dept,RF,with_int,1,0.5883,0.5493,0.4133,0.4659,0.3718,0.104,0.5792,0.4641,0.2584,0.1376,0.5883,0.0098,0.5493,0.4133,0.005,0.4659,0.3718,0.104,0.5792,0.0047,0.4641,0.2584,0.1376,"[0.575, 0.5833, 0.59, 0.5883, 0.605]","[0.576, 0.5867, 0.5751, 0.5755, 0.5829]",3000
