outcome,model,variant,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
is_terminated,LR,WITHOUT,0.7183,0.0135,0.4217,0.0212,0.8001,0.02
is_terminated,LR,WITH,0.7343,0.0188,0.4404,0.0302,0.8067,0.0244
is_terminated,RF,WITHOUT,0.855,0.0074,0.2005,0.0352,0.8357,0.0216
is_terminated,RF,WITH,0.855,0.0105,0.2308,0.0572,0.8483,0.0196
is_terminated,XGB,WITHOUT,0.849,0.0017,0.1278,0.0501,0.8354,0.0186
is_terminated,XGB,WITH,0.8523,0.002,0.153,0.0476,0.8457,0.0165
PerfScore,LR,WITHOUT,0.2783,0.0294,0.3589,0.0343,,
PerfScore,LR,WITH,0.3123,0.0254,0.3912,0.0292,,
PerfScore,RF,WITHOUT,0.7413,0.0069,0.6876,0.0034,,
PerfScore,RF,WITH,0.74,0.0032,0.6888,0.0045,,
PayZone_encoded,LR,WITHOUT,0.3063,0.0105,0.3038,0.0085,,
PayZone_encoded,LR,WITH,0.3097,0.0146,0.3076,0.0155,,
PayZone_encoded,RF,WITHOUT,0.3247,0.0121,0.3244,0.0123,,
PayZone_encoded,RF,WITH,0.3313,0.0138,0.3311,0.0141,,
is_minority_dept,LR,WITHOUT,0.5003,0.0252,0.4998,0.0251,0.5502,0.0272
is_minority_dept,LR,WITH,0.5517,0.0182,0.4616,0.0188,0.5594,0.0174
is_minority_dept,RF,WITHOUT,0.5843,0.0057,0.4047,0.0085,0.5659,0.0088
is_minority_dept,RF,WITH,0.59,0.0109,0.413,0.0148,0.5821,0.0054
is_minority_dept,XGB,WITHOUT,0.6187,0.0109,0.3946,0.0077,0.5926,0.0171
is_minority_dept,XGB,WITH,0.6313,0.0085,0.4063,0.0153,0.611,0.0138
SeniorityLevel,LR,WITHOUT,0.8123,0.0452,0.8767,0.0293,,
SeniorityLevel,LR,WITH,0.858,0.0134,0.9057,0.0093,,
SeniorityLevel,RF,WITHOUT,0.9473,0.0047,0.9409,0.0044,,
SeniorityLevel,RF,WITH,0.968,0.0037,0.9677,0.0037,,
