method,p_value,statistic,effect_size,mutual_info,impact,n,f1_type,f2_type,outcome_type,feature_1,feature_2,outcome,significant,bonferroni,rank,cumulative_pct
chi2,7.786534966788793e-302,1423.0919,0.0,0.6043,181.2961,3000,cat,cat,cat,JobFamily,DepartmentType,PayZone_encoded,True,True,1,4.781958571996796
chi2,1.3187731721902547e-243,1985.3527,0.0,0.6327,153.677,3000,cat,cat,cat,JobFamily,IntersectionalID,PayZone_encoded,True,True,2,8.835421649629199
chi2,2.0301720272462158e-186,1000.0,0.0,0.6854,127.2689,3000,cat,cat,cat,IntersectionalID,GenderCode,PayZone_encoded,True,True,3,12.192331187692087
chi2,2.4526191187754992e-231,1000.0,0.0,0.5438,125.3997,3000,cat,cat,cat,SeniorityLevel,IsIC,PayZone_encoded,True,True,4,15.49993775143409
chi2,3.470762630456986e-226,1000.0,0.0,0.4791,108.0082,3000,cat,cat,cat,JobFamily,IsManager,PayZone_encoded,True,True,5,18.348817224494702
chi2,4.164696316216206e-196,1472.1366,0.0,0.5515,107.7436,3000,num,cat,cat,TenureYears,ExitQuarter,is_minority_dept,True,True,6,21.190717472750425
chi2,1.0667356566869466e-298,1110.271,0.0,0.36,107.2666,3000,cat,cat,cat,IsManager,IsIC,is_minority_dept,True,True,7,24.020036125269435
chi2,4.164696316216206e-196,1472.1366,0.0,0.5484,107.1482,3000,num,cat,cat,TenureVsAvg,ExitQuarter,is_minority_dept,True,True,8,26.8462317988886
chi2,1.3181840656075298e-193,858.8693,0.0,0.4632,89.3455,3000,cat,cat,cat,JobFamily,IsIC,PayZone_encoded,True,True,9,29.20285436051204
chi2,1.4394227252046774e-186,811.0395,0.0,0.3833,71.2304,3000,cat,cat,cat,SeniorityLevel,IsManager,PayZone_encoded,True,True,10,31.0816637881101
chi2,3.559671616839417e-143,328.0,0.0,0.4791,68.2411,3000,cat,cat,cat,JobFamily,IsManager,SeniorityLevel,True,True,11,32.88162591144033
chi2,7.15073168676082e-304,472.4718,0.0,0.2093,62.7928,3000,cat,cat,cat,Region,DepartmentType,PerfScore,True,True,12,34.537880890006775
