seed,outcome,model,variant,acc_mean,acc_std,f1_mean,f1_std,auc_mean
0,is_terminated,LR,without,0.7196666666666667,0.011897712198383165,0.7642446592383433,0.00953022753957424,0.7997052081149134
0,is_terminated,LR,with,0.694,0.010883218478209647,0.7441937645138642,0.008701105051566684,0.8126776477175369
0,is_terminated,RF,without,0.85,0.0082999330653258,0.824331334198189,0.007616783756230938,0.8375029104870206
0,is_terminated,RF,with,0.8543333333333333,0.012364824660660939,0.8337390383872336,0.011553521282023213,0.8467283575380101
0,is_terminated,XGB,without,0.8533333333333333,0.011155467020454312,0.8261397819521925,0.009419772163516657,0.8412956440812971
0,is_terminated,XGB,with,0.8526666666666667,0.008793937305515271,0.8265345709179197,0.009387391511287535,0.846530409596606
0,PerfScore,LR,without,0.274,0.013767917618708917,0.3572408096335472,0.01627428535313037,
0,PerfScore,LR,with,0.30233333333333334,0.006548960901462833,0.37908466413503233,0.0052720937449084165,
0,PerfScore,RF,without,0.7456666666666667,0.007272474743090468,0.6922839989276561,0.006367567151410561,
0,PerfScore,RF,with,0.7406666666666667,0.009345230512584141,0.6898728703554133,0.008022171269733237,
0,PayZone_encoded,LR,without,0.305,0.012337837015547838,0.3001993147727269,0.016101784251241282,
0,PayZone_encoded,LR,with,0.30266666666666664,0.005830951894845296,0.2992189177650835,0.006590780150738789,
0,PayZone_encoded,RF,without,0.32366666666666666,0.007557189365836419,0.3227014928669859,0.007521248550229889,
0,PayZone_encoded,RF,with,0.32799999999999996,0.012036980056845198,0.32752486883971665,0.01193998406953105,
0,PayZone_encoded,XGB,without,0.31733333333333336,0.016451950239004084,0.31653900473347113,0.01630350299968252,
0,PayZone_encoded,XGB,with,0.306,0.013928388277184116,0.304984624925621,0.014128507068451217,
0,SeniorityLevel,LR,without,0.825,0.029001915645541606,0.8839578251720243,0.017848582764889542,
0,SeniorityLevel,LR,with,0.8503333333333334,0.02991469352824611,0.894180194319161,0.018992564631480965,
0,SeniorityLevel,RF,without,0.9469999999999998,0.006782329983125274,0.9404421714271788,0.007067649825672818,
0,SeniorityLevel,RF,with,0.9663333333333333,0.004876246279442583,0.9658522783928418,0.005013543696343275,
0,is_minority_dept,LR,without,0.5003333333333333,0.02322355126446716,0.4997270503289658,0.02272255266889015,0.5424991826631171
0,is_minority_dept,LR,with,0.5406666666666666,0.0252674582109963,0.5451407284337113,0.025095110897036213,0.5541614123581338
0,is_minority_dept,RF,without,0.5833333333333334,0.010954451150103319,0.5701274312053317,0.015540553127875821,0.5638386810517957
0,is_minority_dept,RF,with,0.5896666666666668,0.019899748742132378,0.5785016281715198,0.02272893580801952,0.5822766335061418
0,is_minority_dept,XGB,without,0.6133333333333334,0.009603240193925295,0.5883587700390478,0.013004112582670797,0.5912299752463687
0,is_minority_dept,XGB,with,0.6206666666666667,0.007930251502246886,0.5937110331899272,0.01243570384585848,0.6088984634066601
1,is_terminated,LR,without,0.7186666666666667,0.012174654911833093,0.7635029898350766,0.010020133872182209,0.8019996287847544
1,is_terminated,LR,with,0.693,0.018660713336371197,0.7432174875721069,0.015404132456093459,0.8188464447942261
1,is_terminated,RF,without,0.8543333333333333,0.00563717817509589,0.8250595912207771,0.008464651869388655,0.831020561089131
1,is_terminated,RF,with,0.852,0.005906681715556425,0.8320350334838498,0.007190544215764988,0.8406196649075927
1,is_terminated,XGB,without,0.8576666666666666,0.0082056890833941,0.8288691409852282,0.007579937761428374,0.8363262933926215
1,is_terminated,XGB,with,0.859,0.007195677714974287,0.8322153254719747,0.007739684771393819,0.8480582288734857
1,PerfScore,LR,without,0.2823333333333334,0.01721110752456745,0.36091261689207277,0.023093214853530192,
1,PerfScore,LR,with,0.313,0.022642143596988934,0.392408849757015,0.026412061894370883,
1,PerfScore,RF,without,0.743,0.006616477747093075,0.6916169856235859,0.007209965426182061,
1,PerfScore,RF,with,0.7403333333333334,0.007102425250887494,0.6907384178128515,0.004727304787431571,
1,PayZone_encoded,LR,without,0.3003333333333333,0.005715476066494088,0.298635299842944,0.005335590978042774,
1,PayZone_encoded,LR,with,0.30766666666666664,0.014321700705960545,0.3058441762478382,0.014531397775172013,
1,PayZone_encoded,RF,without,0.30633333333333335,0.01384035966135113,0.3055784824894149,0.013527144079875974,
1,PayZone_encoded,RF,with,0.32966666666666666,0.02036882148993625,0.3289220895285252,0.01982628080784786,
1,PayZone_encoded,XGB,without,0.321,0.014966629547095763,0.31893009410522877,0.014426878602063976,
1,PayZone_encoded,XGB,with,0.31333333333333335,0.0228521820013368,0.3118139038132616,0.021659699747063416,
1,SeniorityLevel,LR,without,0.8136666666666666,0.02493101593508689,0.8792020026155942,0.01638812314418586,
1,SeniorityLevel,LR,with,0.844,0.012587471725666127,0.8880812699726682,0.008407434104584197,
1,SeniorityLevel,RF,without,0.9476666666666667,0.007859884081701069,0.9408668820766415,0.007439926900017825,
1,SeniorityLevel,RF,with,0.966,0.006879922480183434,0.9656906905290524,0.0069008015704677935,
1,is_minority_dept,LR,without,0.5046666666666667,0.009510228411791414,0.5038091269780954,0.01067115201250526,0.5468929522208211
1,is_minority_dept,LR,with,0.5463333333333333,0.019131126469708975,0.5498043161685358,0.01764794197412857,0.5541041987763299
1,is_minority_dept,RF,without,0.588,0.005715476066494102,0.5779718474066646,0.005000974859015038,0.5683130166736724
1,is_minority_dept,RF,with,0.601,0.008602325267042606,0.590946714792229,0.007868538518367565,0.5833111484750828
1,is_minority_dept,XGB,without,0.6203333333333333,0.011025223605694174,0.5987781494157415,0.010525817064540942,0.6044743356218767
1,is_minority_dept,XGB,with,0.6363333333333333,0.01279756921363498,0.6118428094951224,0.012483086651451215,0.6162509924805006
2,is_terminated,LR,without,0.7213333333333333,0.006091888960832351,0.765672115888939,0.00497663127518846,0.8016860407247431
2,is_terminated,LR,with,0.692,0.012970050972229141,0.7425344954341402,0.010502335176697297,0.815965442780238
2,is_terminated,RF,without,0.857,0.008055363982396377,0.8290860416816047,0.010538555524845271,0.835707737461545
2,is_terminated,RF,with,0.8546666666666667,0.00927361849549567,0.8286761741843047,0.010788582804722677,0.8470527176171008
2,is_terminated,XGB,without,0.8596666666666668,0.00865383665716477,0.8322285190931119,0.010784272735511486,0.842211027850904
