outcome,model,variant,acc_overall_mean,acc_overall_std,acc_min,acc_max,acc_range
PayZone_encoded,LR,with,0.3094,0.0057,0.3027,0.321,0.0183
PayZone_encoded,LR,without,0.3094,0.0048,0.3003,0.3173,0.017
PayZone_encoded,RF,with,0.3274,0.0054,0.3157,0.3347,0.019
PayZone_encoded,RF,without,0.3219,0.0063,0.3063,0.3313,0.025
PayZone_encoded,XGB,with,0.3159,0.0076,0.306,0.332,0.026
PayZone_encoded,XGB,without,0.3181,0.0025,0.315,0.323,0.008
PerfScore,LR,with,0.3084,0.0055,0.301,0.319,0.018
PerfScore,LR,without,0.2763,0.0036,0.2717,0.2823,0.0107
PerfScore,RF,with,0.7392,0.0028,0.734,0.7427,0.0087
PerfScore,RF,without,0.7411,0.0025,0.737,0.7457,0.0087
SeniorityLevel,LR,with,0.8495,0.0059,0.838,0.8593,0.0213
SeniorityLevel,LR,without,0.8151,0.0112,0.789,0.8277,0.0387
SeniorityLevel,RF,with,0.9664,0.001,0.965,0.9687,0.0037
SeniorityLevel,RF,without,0.9464,0.0016,0.9443,0.9503,0.006
is_minority_dept,LR,with,0.542,0.0063,0.529,0.5523,0.0233
is_minority_dept,LR,without,0.5058,0.0043,0.4973,0.5117,0.0143
is_minority_dept,RF,with,0.5977,0.0059,0.589,0.606,0.017
is_minority_dept,RF,without,0.5918,0.0057,0.5833,0.6027,0.0193
is_minority_dept,XGB,with,0.6272,0.0051,0.6193,0.6363,0.017
is_minority_dept,XGB,without,0.618,0.0054,0.6117,0.6287,0.017
is_terminated,LR,with,0.6931,0.0016,0.6913,0.6963,0.005
is_terminated,LR,without,0.7201,0.0011,0.718,0.7213,0.0033
is_terminated,RF,with,0.8517,0.0024,0.846,0.8547,0.0087
is_terminated,RF,without,0.8532,0.0019,0.85,0.857,0.007
is_terminated,XGB,with,0.8569,0.0044,0.8467,0.8623,0.0157
is_terminated,XGB,without,0.8556,0.0032,0.8497,0.8597,0.01
