feature_1,feature_2,shap_interaction_strength
TenureDays,TenureVsAvg,6.548358475827488
TenureDays,TenureYears,5.816711048777375
Age,TenureDays,4.954093031824404
Age,TenureVsAvg,3.7286738364365446
TenureYears,TenureVsAvg,3.6938394248307898
Age,TenureYears,3.5906425909193906
TenureDays,StartQuarter,3.5143243649587017
TenureVsAvg,StartYear,3.5046063056766346
TenureDays,StartYear,3.500856576828143
TenureYears,StartYear,3.392351241896462
TenureDays,DeptDiversityScore,2.866754176136967
Age,StartYear,2.8642774970978824
StartYear,StartQuarter,2.672185967784811
TenureYears,StartQuarter,2.5918181098982043
TenureVsAvg,StartQuarter,2.564033022200939
Age,StartQuarter,2.354267553908152
TenureDays,DeptGenderRatio,2.253544349038688
TenureDays,PerfScore,2.218397889367704
TenureVsAvg,DeptDiversityScore,1.8307486324708404
TenureDays,SeniorityLevel,1.6496178199276341
TenureYears,DeptDiversityScore,1.5748366087044
StartYear,PerfScore,1.5612824976443234
SeniorityLevel,DeptDiversityScore,1.5409251572346967
TenureYears,DeptGenderRatio,1.4724058706632834
Age,DeptDiversityScore,1.4566677427223131
TenureVsAvg,DeptGenderRatio,1.451432967808599
DeptDiversityScore,StartYear,1.3895977505819321
TenureVsAvg,PerfScore,1.3475087688190288
SeniorityLevel,DeptGenderRatio,1.3449466638707654
Age,PerfScore,1.3219866614137235
TenureYears,PerfScore,1.2971425153860987
IsIC,DeptDiversityScore,1.2928226628546957
Age,DeptGenderRatio,1.2566420764000767
DeptGenderRatio,DeptDiversityScore,1.2270783529703941
TenureDays,IsIC,1.2076929933036729
StartQuarter,PerfScore,1.0715600263479081
DeptGenderRatio,StartYear,1.0471828721424978
TenureVsAvg,SeniorityLevel,1.0405046457057925
DeptDiversityScore,StartQuarter,0.9264258673440338
IsIC,DeptGenderRatio,0.8934109341034264
Age,SeniorityLevel,0.8628396480232559
TenureYears,IsIC,0.8574317397503382
DeptGenderRatio,StartQuarter,0.8547569844484165
IsManager,DeptGenderRatio,0.8545373793045511
Age,IsIC,0.8461728552167108
TenureYears,SeniorityLevel,0.793313691026173
IsManager,IsIC,0.7869473399553067
SeniorityLevel,StartYear,0.7859726674165305
SeniorityLevel,IsManager,0.7639693417910414
TenureVsAvg,IsIC,0.7469125453639917
