feature_1,feature_2,shap_strength,impact,impact_rank,p_value
TenureDays,TenureVsAvg,6.548358475827488,0.0,1002,0.0
TenureDays,TenureYears,5.816711048777375,-0.0,1240,1.0
Age,TenureDays,4.954093031824404,-0.0,1755,1.0
Age,TenureVsAvg,3.7286738364365446,-0.0,1101,1.0
TenureYears,TenureVsAvg,3.6938394248307898,0.0,999,1.0
Age,TenureYears,3.5906425909193906,-0.0,1049,1.0
TenureDays,StartQuarter,3.5143243649587017,0.0,999,1.0
TenureVsAvg,StartYear,3.5046063056766346,0.0,999,1.0
TenureDays,StartYear,3.500856576828143,0.0,999,1.0
TenureYears,StartYear,3.392351241896462,0.0,999,1.0
TenureDays,DeptDiversityScore,2.866754176136967,0.0,999,1.0
Age,StartYear,2.8642774970978824,-0.0,1181,1.0
StartYear,StartQuarter,2.672185967784811,0.0,999,1.0
TenureYears,StartQuarter,2.5918181098982043,0.0,999,1.0
TenureVsAvg,StartQuarter,2.564033022200939,0.0,999,1.0
Age,StartQuarter,2.354267553908152,-0.0,1127,1.0
TenureDays,DeptGenderRatio,2.253544349038688,0.0,999,1.0
TenureDays,PerfScore,2.218397889367704,0.0,999,1.0
TenureVsAvg,DeptDiversityScore,1.8307486324708404,0.0,999,1.0
TenureDays,SeniorityLevel,1.6496178199276341,0.0,999,1.0
TenureYears,DeptDiversityScore,1.5748366087044,0.0,999,1.0
StartYear,PerfScore,1.5612824976443234,0.0,999,1.0
SeniorityLevel,DeptDiversityScore,1.5409251572346967,0.0,999,1.0
TenureYears,DeptGenderRatio,1.4724058706632834,0.0,999,1.0
Age,DeptDiversityScore,1.4566677427223131,-0.0,1161,1.0
TenureVsAvg,DeptGenderRatio,1.451432967808599,0.0,999,1.0
DeptDiversityScore,StartYear,1.3895977505819321,-0.0,1142,1.0
TenureVsAvg,PerfScore,1.3475087688190288,0.0,999,1.0
SeniorityLevel,DeptGenderRatio,1.3449466638707654,0.0,999,1.0
Age,PerfScore,1.3219866614137235,-0.0,1286,1.0
TenureYears,PerfScore,1.2971425153860987,0.0,999,1.0
IsIC,DeptDiversityScore,1.2928226628546957,0.0,999,1.0
Age,DeptGenderRatio,1.2566420764000767,-0.0,1193,1.0
DeptGenderRatio,DeptDiversityScore,1.2270783529703941,0.0,999,1.0
TenureDays,IsIC,1.2076929933036729,0.0,999,1.0
StartQuarter,PerfScore,1.0715600263479081,0.0,999,1.0
DeptGenderRatio,StartYear,1.0471828721424978,-0.0,1281,1.0
TenureVsAvg,SeniorityLevel,1.0405046457057925,0.0,999,1.0
DeptDiversityScore,StartQuarter,0.9264258673440338,-0.0,1147,1.0
IsIC,DeptGenderRatio,0.8934109341034264,0.0,999,1.0
Age,SeniorityLevel,0.8628396480232559,-0.0,1075,1.0
TenureYears,IsIC,0.8574317397503382,0.0,999,1.0
DeptGenderRatio,StartQuarter,0.8547569844484165,-0.0,1283,1.0
IsManager,DeptGenderRatio,0.8545373793045511,0.0,999,1.0
Age,IsIC,0.8461728552167108,-0.0,1257,1.0
TenureYears,SeniorityLevel,0.793313691026173,0.0,999,1.0
IsManager,IsIC,0.7869473399553067,0.0,999,1.0
SeniorityLevel,StartYear,0.7859726674165305,-0.0,1320,1.0
SeniorityLevel,IsManager,0.7639693417910414,0.0,999,1.0
TenureVsAvg,IsIC,0.7469125453639917,0.0,999,1.0
IsIC,StartYear,0.6979503965713221,-0.0,1012,1.0
TenureDays,IsManager,0.5726101337809839,0.0,999,1.0
SeniorityLevel,StartQuarter,0.5593621355514945,-0.0,1322,1.0
IsIC,StartQuarter,0.5581574899982559,-0.0,1017,1.0
DeptDiversityScore,PerfScore,0.5497026542539608,-0.0,1125,1.0
IsManager,DeptDiversityScore,0.49426440471369826,0.0,999,1.0
Age,IsManager,0.4742561207544108,-0.0,1254,1.0
TenureVsAvg,IsManager,0.46963223115572245,0.0,999,1.0
TenureYears,IsManager,0.4323851339087623,0.0,999,1.0
DeptGenderRatio,PerfScore,0.429299565971725,-0.0,1270,1.0
IsManager,StartYear,0.42056130437320566,-0.0,1589,1.0
IsManager,StartQuarter,0.3528200654986945,0.0003,886,0.4977628837146627
SeniorityLevel,PerfScore,0.24355841936330624,0.0,999,1.0
IsIC,PerfScore,0.22897291215639687,-0.0,1088,1.0
IsManager,PerfScore,0.12647298107528143,-0.0,1603,1.0
SeniorityLevel,IsExecutive,0.11464493644173646,0.0,999,1.0
IsExecutive,DeptDiversityScore,0.09344173455861075,0.0,999,1.0
IsExecutive,IsIC,0.08455660457780785,-0.0,1573,1.0
TenureYears,IsExecutive,0.0727843384109021,0.0,999,1.0
SeniorityLevel,IsIC,0.07174464676669301,0.0,999,1.0
TenureDays,IsExecutive,0.05908031619465418,0.0,999,1.0
TenureVsAvg,IsExecutive,0.05376587364169952,0.0,999,1.0
IsExecutive,DeptGenderRatio,0.05155520874983057,0.0,999,1.0
IsExecutive,IsManager,0.048295834799347945,-0.0,1568,1.0
Age,IsExecutive,0.029009035079166107,-0.0,1293,1.0
IsExecutive,StartQuarter,0.021442137580115532,-0.0,1540,1.0
IsExecutive,StartYear,0.011913910379418252,-0.0,1537,1.0
SeniorityLevel,OrgLevel,0.005200106516410483,0.0,999,1.0
TenureYears,OrgLevel,0.00503710047713717,0.0,999,1.0
TenureDays,OrgLevel,0.004659181101565467,0.0,999,1.0
OrgLevel,DeptGenderRatio,0.004481772841854855,0.0,999,1.0
TenureVsAvg,OrgLevel,0.003932326416581341,0.0,999,1.0
IsIC,OrgLevel,0.003929544763600348,-0.0,1041,1.0
IsManager,OrgLevel,0.0037547490625237717,-0.0,1629,1.0
OrgLevel,DeptDiversityScore,0.003609396082662591,0.0,999,1.0
OrgLevel,StartQuarter,0.0029434484095813476,0.0005,787,0.29132760244342815
Age,OrgLevel,0.0028986908815350036,-0.0,1123,1.0
OrgLevel,StartYear,0.0028579517479123636,-0.0,1232,1.0
TenureYears,SpanOfControl,0.002533618293752886,0.0,999,1.0
IsExecutive,PerfScore,0.0018751200602903292,-0.0,1552,1.0
SpanOfControl,StartYear,0.0015867983861784086,-0.0,1076,1.0
TenureDays,SpanOfControl,0.0014093845241547177,0.0,999,1.0
SpanOfControl,DeptDiversityScore,0.0013477461957019255,0.0,999,1.0
TenureVsAvg,SpanOfControl,0.0008436566317292482,0.0,999,1.0
Age,SpanOfControl,0.0007141757720729623,-0.0,1262,1.0
SpanOfControl,StartQuarter,0.0003105306055135222,0.0023,506,0.5984139753579278
OrgLevel,PerfScore,0.0002463020717401721,-0.0,1202,1.0
IsIC,SpanOfControl,0.00022462968455224769,-0.0,1036,1.0
SpanOfControl,PerfScore,0.0002153156772231383,0.0,999,1.0
SpanOfControl,DeptGenderRatio,0.00021014454350301123,0.0,999,1.0
SeniorityLevel,SpanOfControl,0.00020487750825599015,-0.0,1324,1.0
IsManager,SpanOfControl,0.00011237406769574616,0.0004,825,0.3635090849283638
IsExecutive,OrgLevel,1.5284856110248263e-05,-0.0,1580,1.0
IsExecutive,SpanOfControl,1.120945997307517e-05,-0.0,1577,1.0
IsLongTenure,DeptDiversityScore,0.0,0.0,999,1.0
IsLongTenure,StartYear,0.0,-0.0,1385,1.0
IsLongTenure,DeptGenderRatio,0.0,0.0,999,1.0
TenureYears,IsLongTenure,0.0,0.0,999,1.0
Age,IsLongTenure,0.0,-0.0,1100,1.0
IsLongTenure,IsManager,0.0,-0.0,1525,1.0
IsLongTenure,OrgLevel,0.0,-0.0,1409,1.0
SpanOfControl,OrgLevel,0.0,0.0,999,1.0
IsLongTenure,SpanOfControl,0.0,-0.0,1381,1.0
TenureDays,IsLongTenure,0.0,0.0,999,1.0
IsLongTenure,TenureVsAvg,0.0,-0.0,1661,1.0
IsLongTenure,SeniorityLevel,0.0,-0.0,1696,1.0
IsLongTenure,IsIC,0.0,0.0,999,1.0
IsLongTenure,IsExecutive,0.0,0.0,999,1.0
IsLongTenure,StartQuarter,0.0,-0.0,1314,1.0
IsLongTenure,PerfScore,0.0,-0.0,1336,1.0
