column,dtype,non_null,null_count,null_pct,unique,sample_values
EmpID,int64,3000,0,0.0,3000,"[3427, 3428, 3429, 3430, 3431]"
FirstName,object,3000,0,0.0,1597,"['Uriah', 'Paula', 'Edward', 'Michael', 'Jasmine']"
LastName,object,3000,0,0.0,1137,"['Bridges', 'Small', 'Buck', 'Riordan', 'Onque']"
StartDate,object,3000,0,0.0,1496,"['20-Sep-19', '11-Feb-23', '10-Dec-18', '21-Jun-21', '29-Jun-19']"
ExitDate,object,1533,1467,48.9,820,"['3-Jul-23', '29-Jan-23', '29-Jun-23', '4-Nov-19', '27-Nov-22']"
Title,object,3000,0,0.0,32,"['Production Technician I', 'Area Sales Manager', 'Production Technician II', 'IT Support', 'Network Engineer']"
Supervisor,object,3000,0,0.0,2952,"['Peter Oneill', 'Renee Mccormick', 'Crystal Walker', 'Rebekah Wright', 'Jason Kim']"
ADEmail,object,3000,0,0.0,2998,"['uriah.bridges@bilearner.com', 'paula.small@bilearner.com', 'edward.buck@bilearner.com', 'michael.riordan@bilearner.com', 'jasmine.onque@bilearner.com']"
BusinessUnit,object,3000,0,0.0,10,"['CCDR', 'EW', 'PL', 'TNS', 'BPC']"
EmployeeStatus,object,3000,0,0.0,5,"['Active', 'Future Start', 'Voluntarily Terminated', 'Leave of Absence', 'Terminated for Cause']"
EmployeeType,object,3000,0,0.0,3,"['Contract', 'Full-Time', 'Part-Time']"
PayZone,object,3000,0,0.0,3,"['Zone C', 'Zone A', 'Zone B']"
EmployeeClassificationType,object,3000,0,0.0,3,"['Temporary', 'Part-Time', 'Full-Time']"
TerminationType,object,3000,0,0.0,5,"['Unk', 'Involuntary', 'Resignation', 'Retirement', 'Voluntary']"
TerminationDescription,object,1533,1467,48.9,1533,"['Me see picture nature degree benefit.', 'Blue community type skill story.', 'Summer personal bag.', 'Alone once than. More condition pay far.', 'Foot in theory minute recognize test.']"
DepartmentType,object,3000,0,0.0,6,"['Production       ', 'Sales', 'IT/IS', 'Executive Office', 'Software Engineering']"
Division,object,3000,0,0.0,25,"['Finance & Accounting', 'Aerial', 'General - Sga', 'General - Con', 'Field Operations']"
DOB,object,3000,0,0.0,2800,"['7/10/1969', '30-08-1965', '6/10/1991', '4/4/1998', '29-08-1969']"
State,object,3000,0,0.0,28,"['MA', 'ND', 'FL', 'CT', 'CA']"
JobFunctionDescription,object,3000,0,0.0,83,"['Accounting', 'Labor', 'Assistant', 'Clerk', 'Laborer']"
GenderCode,object,3000,0,0.0,2,"['Female', 'Male']"
LocationCode,int64,3000,0,0.0,2821,"[34904, 6593, 2330, 58782, 33174]"
RaceDesc,object,3000,0,0.0,5,"['White', 'Hispanic', 'Other', 'Black', 'Asian']"
MaritalDesc,object,3000,0,0.0,4,"['Widowed', 'Single', 'Married', 'Divorced']"
Performance Score,object,3000,0,0.0,4,"['Fully Meets', 'Exceeds', 'Needs Improvement', 'PIP']"
Current Employee Rating,int64,3000,0,0.0,5,"[4, 3, 2, 5, 1]"
