feature,type,n_unique,mean,std
Age,numeric,513,,
TenureDays,numeric,1800,,
TenureYears,numeric,80,,
CareerStage,categorical,5,,
IsLongTenure,numeric,1,,
TenureVsAvg,numeric,80,,
JobFamily,categorical,7,,
SeniorityLevel,numeric,3,,
DivisionGroup,categorical,5,,
Region,categorical,5,,
Generation,categorical,5,,
IsExecutive,numeric,2,,
IsManager,numeric,2,,
IsIC,numeric,2,,
SpanOfControl,numeric,3,,
OrgLevel,numeric,2,,
DeptGenderRatio,numeric,6,,
DeptDiversityScore,numeric,6,,
IntersectionalID,categorical,56,,
StartYear,numeric,6,,
StartQuarter,numeric,4,,
ExitYear,numeric,7,,
ExitQuarter,numeric,5,,
PerfScore,numeric,4,,
GenderCode,categorical,2,,
RaceDesc,categorical,5,,
DepartmentType,categorical,6,,
