outcome,model,feature,importance
is_terminated,LR_without,Age,0.0026
is_terminated,LR_without,TenureDays,0.0057
is_terminated,LR_without,TenureYears,0.8633
is_terminated,LR_without,IsLongTenure,0.0
is_terminated,LR_without,TenureVsAvg,0.8408
is_terminated,LR_without,SeniorityLevel,0.1911
is_terminated,LR_without,IsExecutive,1.9557
is_terminated,LR_without,IsManager,1.582
is_terminated,LR_without,IsIC,2.1672
is_terminated,LR_without,SpanOfControl,0.5385
is_terminated,LR_without,OrgLevel,0.3265
is_terminated,LR_without,DeptGenderRatio,3.6509
is_terminated,LR_without,DeptDiversityScore,0.3175
is_terminated,LR_without,StartYear,0.4569
is_terminated,LR_without,StartQuarter,0.0605
is_terminated,LR_without,ExitYear,0.4585
is_terminated,LR_without,ExitQuarter,0.0627
is_terminated,LR_without,PerfScore,0.19
is_terminated,LR_with,Age,0.0026
is_terminated,LR_with,TenureDays,0.0087
is_terminated,LR_with,TenureYears,0.2251
is_terminated,LR_with,IsLongTenure,0.0
is_terminated,LR_with,TenureVsAvg,0.2127
is_terminated,LR_with,SeniorityLevel,0.3803
is_terminated,LR_with,IsExecutive,1.7812
is_terminated,LR_with,IsManager,0.565
is_terminated,LR_with,IsIC,2.1727
is_terminated,LR_with,SpanOfControl,0.37
is_terminated,LR_with,OrgLevel,0.1016
is_terminated,LR_with,DeptGenderRatio,3.5163
is_terminated,LR_with,DeptDiversityScore,0.2154
is_terminated,LR_with,StartYear,0.0399
is_terminated,LR_with,StartQuarter,0.0379
is_terminated,LR_with,ExitYear,0.0403
is_terminated,LR_with,ExitQuarter,0.1065
is_terminated,LR_with,PerfScore,0.1833
is_terminated,LR_with,SeniorityLevel__IsIC,0.3878
is_terminated,LR_with,TenureYears__ExitQuarter,0.0682
is_terminated,LR_with,IsManager__IsIC,1.0427
is_terminated,LR_with,TenureVsAvg__ExitQuarter,0.0
is_terminated,LR_with,SeniorityLevel__IsManager,0.8284
is_terminated,RF_without,Age,0.1003
is_terminated,RF_without,TenureDays,0.1778
is_terminated,RF_without,TenureYears,0.1115
is_terminated,RF_without,IsLongTenure,0.0
is_terminated,RF_without,TenureVsAvg,0.0932
is_terminated,RF_without,SeniorityLevel,0.0185
is_terminated,RF_without,IsExecutive,0.0024
is_terminated,RF_without,IsManager,0.0067
is_terminated,RF_without,IsIC,0.0147
is_terminated,RF_without,SpanOfControl,0.0001
is_terminated,RF_without,OrgLevel,0.0007
is_terminated,RF_without,DeptGenderRatio,0.0367
is_terminated,RF_without,DeptDiversityScore,0.0364
is_terminated,RF_without,StartYear,0.0435
is_terminated,RF_without,StartQuarter,0.0366
is_terminated,RF_without,ExitYear,0.1468
is_terminated,RF_without,ExitQuarter,0.1471
is_terminated,RF_without,PerfScore,0.0269
is_terminated,RF_with,Age,0.089
is_terminated,RF_with,TenureDays,0.1507
is_terminated,RF_with,TenureYears,0.0772
is_terminated,RF_with,IsLongTenure,0.0
is_terminated,RF_with,TenureVsAvg,0.0558
is_terminated,RF_with,SeniorityLevel,0.0095
is_terminated,RF_with,IsExecutive,0.0012
is_terminated,RF_with,IsManager,0.0031
is_terminated,RF_with,IsIC,0.0075
is_terminated,RF_with,SpanOfControl,0.0002
is_terminated,RF_with,OrgLevel,0.0006
is_terminated,RF_with,DeptGenderRatio,0.0327
is_terminated,RF_with,DeptDiversityScore,0.0369
is_terminated,RF_with,StartYear,0.0406
is_terminated,RF_with,StartQuarter,0.0291
is_terminated,RF_with,ExitYear,0.1242
is_terminated,RF_with,ExitQuarter,0.1233
is_terminated,RF_with,PerfScore,0.0259
is_terminated,RF_with,SeniorityLevel__IsIC,0.0082
is_terminated,RF_with,TenureYears__ExitQuarter,0.0911
is_terminated,RF_with,IsManager__IsIC,0.0044
is_terminated,RF_with,TenureVsAvg__ExitQuarter,0.0779
is_terminated,RF_with,SeniorityLevel__IsManager,0.0108
is_terminated,XGB_without,Age,0.03669999912381172
is_terminated,XGB_without,TenureDays,0.03449999913573265
is_terminated,XGB_without,TenureYears,0.030700000002980232
is_terminated,XGB_without,IsLongTenure,0.0
is_terminated,XGB_without,TenureVsAvg,0.040800001472234726
is_terminated,XGB_without,SeniorityLevel,0.09040000289678574
is_terminated,XGB_without,IsExecutive,0.03150000050663948
is_terminated,XGB_without,IsManager,0.030300000682473183
is_terminated,XGB_without,IsIC,0.04569999873638153
is_terminated,XGB_without,SpanOfControl,0.0
is_terminated,XGB_without,OrgLevel,0.0
is_terminated,XGB_without,DeptGenderRatio,0.07810000330209732
is_terminated,XGB_without,DeptDiversityScore,0.08919999748468399
is_terminated,XGB_without,StartYear,0.0333000011742115
is_terminated,XGB_without,StartQuarter,0.031099999323487282
is_terminated,XGB_without,ExitYear,0.31439998745918274
is_terminated,XGB_without,ExitQuarter,0.07500000298023224
is_terminated,XGB_without,PerfScore,0.03819999843835831
is_terminated,XGB_with,Age,0.026000000536441803
is_terminated,XGB_with,TenureDays,0.022199999541044235
is_terminated,XGB_with,TenureYears,0.027699999511241913
is_terminated,XGB_with,IsLongTenure,0.0
is_terminated,XGB_with,TenureVsAvg,0.042500000447034836
is_terminated,XGB_with,SeniorityLevel,0.052000001072883606
is_terminated,XGB_with,IsExecutive,0.019999999552965164
is_terminated,XGB_with,IsManager,0.027499999850988388
is_terminated,XGB_with,IsIC,0.19449999928474426
is_terminated,XGB_with,SpanOfControl,0.0
is_terminated,XGB_with,OrgLevel,0.0
is_terminated,XGB_with,DeptGenderRatio,0.07020000368356705
is_terminated,XGB_with,DeptDiversityScore,0.0471000000834465
is_terminated,XGB_with,StartYear,0.021800000220537186
is_terminated,XGB_with,StartQuarter,0.023800000548362732
is_terminated,XGB_with,ExitYear,0.2418999969959259
is_terminated,XGB_with,ExitQuarter,0.05920000001788139
is_terminated,XGB_with,PerfScore,0.02850000001490116
is_terminated,XGB_with,SeniorityLevel__IsIC,0.0
is_terminated,XGB_with,TenureYears__ExitQuarter,0.023099999874830246
is_terminated,XGB_with,IsManager__IsIC,0.02889999933540821
is_terminated,XGB_with,TenureVsAvg__ExitQuarter,0.02419999986886978
is_terminated,XGB_with,SeniorityLevel__IsManager,0.019099999219179153
PerfScore,LR_without,Age,0.0167
PerfScore,LR_without,TenureDays,0.0
PerfScore,LR_without,TenureYears,0.0062
PerfScore,LR_without,IsLongTenure,0.0
PerfScore,LR_without,TenureVsAvg,0.0065
PerfScore,LR_without,SeniorityLevel,0.1952
PerfScore,LR_without,IsExecutive,0.0563
PerfScore,LR_without,IsManager,0.3545
PerfScore,LR_without,IsIC,0.178
PerfScore,LR_without,SpanOfControl,0.0349
PerfScore,LR_without,OrgLevel,0.0241
PerfScore,LR_without,DeptGenderRatio,0.0845
PerfScore,LR_without,DeptDiversityScore,0.008
PerfScore,LR_without,StartYear,0.0093
PerfScore,LR_without,StartQuarter,0.2326
PerfScore,LR_without,ExitYear,0.0
PerfScore,LR_without,ExitQuarter,0.0342
PerfScore,LR_without,PerfScore,7.9858
PerfScore,LR_with,Age,0.0057
PerfScore,LR_with,TenureDays,0.0009
PerfScore,LR_with,TenureYears,0.0064
PerfScore,LR_with,IsLongTenure,0.0
PerfScore,LR_with,TenureVsAvg,0.0068
PerfScore,LR_with,SeniorityLevel,0.1952
PerfScore,LR_with,IsExecutive,0.0457
PerfScore,LR_with,IsManager,0.2847
PerfScore,LR_with,IsIC,0.1811
PerfScore,LR_with,SpanOfControl,0.0289
PerfScore,LR_with,OrgLevel,0.0156
PerfScore,LR_with,DeptGenderRatio,0.0562
PerfScore,LR_with,DeptDiversityScore,0.0071
PerfScore,LR_with,StartYear,0.0071
PerfScore,LR_with,StartQuarter,0.5452
PerfScore,LR_with,ExitYear,0.0001
PerfScore,LR_with,ExitQuarter,0.0547
PerfScore,LR_with,PerfScore,6.3586
PerfScore,LR_with,SeniorityLevel__IsIC,0.1954
PerfScore,LR_with,TenureYears__ExitQuarter,0.0116
PerfScore,LR_with,IsManager__IsIC,0.3883
PerfScore,LR_with,TenureVsAvg__ExitQuarter,0.0002
PerfScore,LR_with,SeniorityLevel__IsManager,0.4946
PerfScore,RF_without,Age,0.0418
PerfScore,RF_without,TenureDays,0.0524
PerfScore,RF_without,TenureYears,0.0283
PerfScore,RF_without,IsLongTenure,0.0
PerfScore,RF_without,TenureVsAvg,0.0283
PerfScore,RF_without,SeniorityLevel,0.0057
PerfScore,RF_without,IsExecutive,0.0006
PerfScore,RF_without,IsManager,0.0122
PerfScore,RF_without,IsIC,0.0053
PerfScore,RF_without,SpanOfControl,0.0007
PerfScore,RF_without,OrgLevel,0.0005
PerfScore,RF_without,DeptGenderRatio,0.0157
PerfScore,RF_without,DeptDiversityScore,0.0146
PerfScore,RF_without,StartYear,0.0123
PerfScore,RF_without,StartQuarter,0.0154
PerfScore,RF_without,ExitYear,0.0086
PerfScore,RF_without,ExitQuarter,0.0108
PerfScore,RF_without,PerfScore,0.7468
PerfScore,RF_with,Age,0.0534
PerfScore,RF_with,TenureDays,0.0615
PerfScore,RF_with,TenureYears,0.027
PerfScore,RF_with,IsLongTenure,0.0
PerfScore,RF_with,TenureVsAvg,0.0261
PerfScore,RF_with,SeniorityLevel,0.003
PerfScore,RF_with,IsExecutive,0.0004
PerfScore,RF_with,IsManager,0.0056
PerfScore,RF_with,IsIC,0.0037
PerfScore,RF_with,SpanOfControl,0.0007
PerfScore,RF_with,OrgLevel,0.0005
PerfScore,RF_with,DeptGenderRatio,0.0172
PerfScore,RF_with,DeptDiversityScore,0.0172
PerfScore,RF_with,StartYear,0.0146
PerfScore,RF_with,StartQuarter,0.017
PerfScore,RF_with,ExitYear,0.0116
PerfScore,RF_with,ExitQuarter,0.0109
PerfScore,RF_with,PerfScore,0.6444
PerfScore,RF_with,SeniorityLevel__IsIC,0.003
PerfScore,RF_with,TenureYears__ExitQuarter,0.0324
PerfScore,RF_with,IsManager__IsIC,0.0072
PerfScore,RF_with,TenureVsAvg__ExitQuarter,0.0346
PerfScore,RF_with,SeniorityLevel__IsManager,0.0081
PayZone_encoded,LR_without,Age,0.001
PayZone_encoded,LR_without,TenureDays,0.0001
PayZone_encoded,LR_without,TenureYears,0.0178
PayZone_encoded,LR_without,IsLongTenure,0.0
PayZone_encoded,LR_without,TenureVsAvg,0.0184
PayZone_encoded,LR_without,SeniorityLevel,0.0685
PayZone_encoded,LR_without,IsExecutive,0.0711
PayZone_encoded,LR_without,IsManager,0.0765
PayZone_encoded,LR_without,IsIC,0.0204
PayZone_encoded,LR_without,SpanOfControl,0.033
PayZone_encoded,LR_without,OrgLevel,0.0166
PayZone_encoded,LR_without,DeptGenderRatio,0.0344
PayZone_encoded,LR_without,DeptDiversityScore,0.0038
PayZone_encoded,LR_without,StartYear,0.0001
PayZone_encoded,LR_without,StartQuarter,0.0114
PayZone_encoded,LR_without,ExitYear,0.0
PayZone_encoded,LR_without,ExitQuarter,0.009
PayZone_encoded,LR_without,PerfScore,0.0207
PayZone_encoded,LR_with,Age,0.0013
PayZone_encoded,LR_with,TenureDays,0.0
PayZone_encoded,LR_with,TenureYears,0.0036
PayZone_encoded,LR_with,IsLongTenure,0.0
PayZone_encoded,LR_with,TenureVsAvg,0.0037
PayZone_encoded,LR_with,SeniorityLevel,0.0142
PayZone_encoded,LR_with,IsExecutive,0.0146
PayZone_encoded,LR_with,IsManager,0.0141
PayZone_encoded,LR_with,IsIC,0.0047
PayZone_encoded,LR_with,SpanOfControl,0.0066
PayZone_encoded,LR_with,OrgLevel,0.0033
PayZone_encoded,LR_with,DeptGenderRatio,0.0069
PayZone_encoded,LR_with,DeptDiversityScore,0.0007
PayZone_encoded,LR_with,StartYear,0.0001
PayZone_encoded,LR_with,StartQuarter,0.0083
PayZone_encoded,LR_with,ExitYear,0.0
PayZone_encoded,LR_with,ExitQuarter,0.0124
PayZone_encoded,LR_with,PerfScore,0.023
PayZone_encoded,LR_with,SeniorityLevel__IsIC,0.0142
PayZone_encoded,LR_with,TenureYears__ExitQuarter,0.0004
PayZone_encoded,LR_with,IsManager__IsIC,0.0304
PayZone_encoded,LR_with,TenureVsAvg__ExitQuarter,0.0003
PayZone_encoded,LR_with,SeniorityLevel__IsManager,0.0148
PayZone_encoded,RF_without,Age,0.2028
PayZone_encoded,RF_without,TenureDays,0.2799
PayZone_encoded,RF_without,TenureYears,0.0993
PayZone_encoded,RF_without,IsLongTenure,0.0
PayZone_encoded,RF_without,TenureVsAvg,0.0983
PayZone_encoded,RF_without,SeniorityLevel,0.0122
PayZone_encoded,RF_without,IsExecutive,0.0022
PayZone_encoded,RF_without,IsManager,0.0103
PayZone_encoded,RF_without,IsIC,0.0108
PayZone_encoded,RF_without,SpanOfControl,0.0011
PayZone_encoded,RF_without,OrgLevel,0.0013
PayZone_encoded,RF_without,DeptGenderRatio,0.0314
PayZone_encoded,RF_without,DeptDiversityScore,0.0317
PayZone_encoded,RF_without,StartYear,0.0425
PayZone_encoded,RF_without,StartQuarter,0.0534
PayZone_encoded,RF_without,ExitYear,0.0313
PayZone_encoded,RF_without,ExitQuarter,0.0379
PayZone_encoded,RF_without,PerfScore,0.0536
PayZone_encoded,RF_with,Age,0.1903
PayZone_encoded,RF_with,TenureDays,0.2526
PayZone_encoded,RF_with,TenureYears,0.0567
PayZone_encoded,RF_with,IsLongTenure,0.0
PayZone_encoded,RF_with,TenureVsAvg,0.0573
PayZone_encoded,RF_with,SeniorityLevel,0.0059
PayZone_encoded,RF_with,IsExecutive,0.0011
PayZone_encoded,RF_with,IsManager,0.0052
PayZone_encoded,RF_with,IsIC,0.0052
PayZone_encoded,RF_with,SpanOfControl,0.0009
PayZone_encoded,RF_with,OrgLevel,0.0012
PayZone_encoded,RF_with,DeptGenderRatio,0.032
PayZone_encoded,RF_with,DeptDiversityScore,0.0329
PayZone_encoded,RF_with,StartYear,0.0354
PayZone_encoded,RF_with,StartQuarter,0.0448
PayZone_encoded,RF_with,ExitYear,0.0289
PayZone_encoded,RF_with,ExitQuarter,0.0268
PayZone_encoded,RF_with,PerfScore,0.0546
PayZone_encoded,RF_with,SeniorityLevel__IsIC,0.0056
PayZone_encoded,RF_with,TenureYears__ExitQuarter,0.0729
PayZone_encoded,RF_with,IsManager__IsIC,0.0072
PayZone_encoded,RF_with,TenureVsAvg__ExitQuarter,0.075
PayZone_encoded,RF_with,SeniorityLevel__IsManager,0.0075
is_minority_dept,LR_without,Age,0.0036
is_minority_dept,LR_without,TenureDays,0.001
is_minority_dept,LR_without,TenureYears,0.1811
is_minority_dept,LR_without,IsLongTenure,0.0
is_minority_dept,LR_without,TenureVsAvg,0.1791
is_minority_dept,LR_without,SeniorityLevel,0.3758
is_minority_dept,LR_without,IsExecutive,0.6229
is_minority_dept,LR_without,IsManager,0.4169
is_minority_dept,LR_without,IsIC,0.2489
is_minority_dept,LR_without,SpanOfControl,0.1268
is_minority_dept,LR_without,OrgLevel,0.5812
is_minority_dept,LR_without,DeptGenderRatio,0.8256
is_minority_dept,LR_without,DeptDiversityScore,0.0104
is_minority_dept,LR_without,StartYear,0.0001
is_minority_dept,LR_without,StartQuarter,0.0372
is_minority_dept,LR_without,ExitYear,0.0001
is_minority_dept,LR_without,ExitQuarter,0.0117
is_minority_dept,LR_without,PerfScore,0.0195
is_minority_dept,LR_with,Age,0.0033
is_minority_dept,LR_with,TenureDays,0.0005
is_minority_dept,LR_with,TenureYears,0.1043
is_minority_dept,LR_with,IsLongTenure,0.0
is_minority_dept,LR_with,TenureVsAvg,0.1033
is_minority_dept,LR_with,SeniorityLevel,0.0668
is_minority_dept,LR_with,IsExecutive,0.3692
is_minority_dept,LR_with,IsManager,0.1009
is_minority_dept,LR_with,IsIC,0.3032
is_minority_dept,LR_with,SpanOfControl,0.0811
is_minority_dept,LR_with,OrgLevel,0.3461
is_minority_dept,LR_with,DeptGenderRatio,0.5831
is_minority_dept,LR_with,DeptDiversityScore,0.0077
is_minority_dept,LR_with,StartYear,0.0001
is_minority_dept,LR_with,StartQuarter,0.03
is_minority_dept,LR_with,ExitYear,0.0001
is_minority_dept,LR_with,ExitQuarter,0.0173
is_minority_dept,LR_with,PerfScore,0.0263
is_minority_dept,LR_with,SeniorityLevel__IsIC,0.0662
