rank,feature_1,feature_2,outcome,impact,mutual_info,method,p_value,statistic,significant,bonferroni,f1_type,f2_type,outcome_type,n
1,JobFamily,DepartmentType,PayZone_encoded,181.2961,0.6043,chi2,7.786534967e-302,1423.0919,True,True,cat,cat,cat,3000
2,JobFamily,IntersectionalID,PayZone_encoded,153.677,0.6327,chi2,1.318773172e-243,1985.3527,True,True,cat,cat,cat,3000
3,IntersectionalID,GenderCode,PayZone_encoded,127.2689,0.6854,chi2,2.030172027e-186,1000.0,True,True,cat,cat,cat,3000
4,SeniorityLevel,IsIC,PayZone_encoded,125.3997,0.5438,chi2,2.452619119e-231,1000.0,True,True,cat,cat,cat,3000
5,JobFamily,IsManager,PayZone_encoded,108.0082,0.4791,chi2,3.47076263e-226,1000.0,True,True,cat,cat,cat,3000
6,TenureYears,ExitQuarter,is_minority_dept,107.7436,0.5515,chi2,4.164696316e-196,1472.1366,True,True,num,cat,cat,3000
7,IsManager,IsIC,is_minority_dept,107.2666,0.36,chi2,1.066735657e-298,1110.271,True,True,cat,cat,cat,3000
8,TenureVsAvg,ExitQuarter,is_minority_dept,107.1482,0.5484,chi2,4.164696316e-196,1472.1366,True,True,num,cat,cat,3000
9,JobFamily,IsIC,PayZone_encoded,89.3455,0.4632,chi2,1.318184066e-193,858.8693,True,True,cat,cat,cat,3000
10,SeniorityLevel,IsManager,PayZone_encoded,71.2304,0.3833,chi2,1.439422725e-186,811.0395,True,True,cat,cat,cat,3000
11,JobFamily,IsManager,SeniorityLevel,68.2411,0.4791,chi2,3.559671617e-143,328.0,True,True,cat,cat,cat,3000
12,Region,DepartmentType,PerfScore,62.7928,0.2093,chi2,7.150731687e-304,472.4718,True,True,cat,cat,cat,3000
13,IsManager,IsIC,PayZone_encoded,59.9895,0.36,chi2,2.276981122e-167,740.8849,True,True,cat,cat,cat,3000
14,Region,IntersectionalID,is_terminated,55.7798,0.1897,chi2,9.773579338e-295,1113.9296,True,True,cat,cat,cat,3000
15,Region,DeptGenderRatio,is_minority_dept,55.1101,0.2126,chi2,5.681814469e-260,944.7371,True,True,cat,num,cat,3000
16,Region,DepartmentType,is_minority_dept,54.2625,0.2093,chi2,5.681814469e-260,944.7371,True,True,cat,cat,cat,3000
17,Region,DeptDiversityScore,is_minority_dept,53.5066,0.2064,chi2,5.681814469e-260,944.7371,True,True,cat,num,cat,3000
18,SeniorityLevel,IntersectionalID,is_terminated,50.3604,0.2237,chi2,6.896273888e-226,785.2421,True,True,cat,cat,cat,3000
19,SeniorityLevel,DepartmentType,is_terminated,48.9266,0.1978,chi2,4.069536738e-248,630.0681,True,True,cat,cat,cat,3000
20,SeniorityLevel,DeptGenderRatio,is_terminated,48.4249,0.1957,chi2,4.069536738e-248,630.0681,True,True,cat,num,cat,3000
21,IsIC,DeptGenderRatio,is_terminated,48.0592,0.2024,chi2,3.551023866e-238,570.143,True,True,cat,num,cat,3000
22,Region,IntersectionalID,PerfScore,47.7809,0.1897,chi2,1.416051788e-252,722.8245,True,True,cat,cat,cat,3000
23,IsIC,DepartmentType,is_terminated,47.7507,0.2011,chi2,3.551023866e-238,570.143,True,True,cat,cat,cat,3000
24,IsIC,IntersectionalID,is_terminated,47.2118,0.2077,chi2,4.380482148e-228,655.5073,True,True,cat,cat,cat,3000
25,SeniorityLevel,DeptDiversityScore,is_terminated,44.094,0.1782,chi2,4.069536738e-248,630.0681,True,True,cat,num,cat,3000
26,IsIC,DeptDiversityScore,is_terminated,43.7431,0.1842,chi2,3.551023866e-238,570.143,True,True,cat,num,cat,3000
27,SeniorityLevel,DepartmentType,is_minority_dept,42.3754,0.1978,chi2,5.433237144e-215,689.4899,True,True,cat,cat,cat,3000
28,IsManager,IntersectionalID,is_terminated,42.3205,0.195,chi2,1.031597707e-217,630.9571,True,True,cat,cat,cat,3000
29,IsManager,DepartmentType,is_terminated,42.186,0.1766,chi2,1.459616019e-239,576.6073,True,True,cat,cat,cat,3000
30,SeniorityLevel,DeptGenderRatio,is_minority_dept,41.9408,0.1957,chi2,5.433237144e-215,689.4899,True,True,cat,num,cat,3000
31,Region,IntersectionalID,is_minority_dept,41.8984,0.1897,chi2,1.436476641e-221,1077.2176,True,True,cat,cat,cat,3000
32,SeniorityLevel,IntersectionalID,is_minority_dept,41.7788,0.2237,chi2,1.610664755e-187,729.0643,True,True,cat,cat,cat,3000
33,IsManager,DeptGenderRatio,is_terminated,41.2118,0.1726,chi2,1.459616019e-239,576.6073,True,True,cat,num,cat,3000
34,SeniorityLevel,IntersectionalID,PerfScore,40.5602,0.2237,chi2,4.523224527e-182,422.0935,True,True,cat,cat,cat,3000
35,IsIC,DeptGenderRatio,is_minority_dept,40.5552,0.2024,chi2,4.228389874e-201,636.6411,True,True,cat,num,cat,3000
36,IsIC,DepartmentType,is_minority_dept,40.2948,0.2011,chi2,4.228389874e-201,636.6411,True,True,cat,cat,cat,3000
37,SeniorityLevel,DepartmentType,PerfScore,39.8008,0.1978,chi2,5.663062524e-202,334.3517,True,True,cat,cat,cat,3000
38,Region,DepartmentType,SeniorityLevel,39.1513,0.2093,chi2,8.914287414e-188,449.6818,True,True,cat,cat,cat,3000
39,IsManager,DeptDiversityScore,is_terminated,39.0069,0.1633,chi2,1.459616019e-239,576.6073,True,True,cat,num,cat,3000
40,SeniorityLevel,DeptDiversityScore,is_minority_dept,38.1898,0.1782,chi2,5.433237144e-215,689.4899,True,True,cat,num,cat,3000
41,IsIC,IntersectionalID,is_minority_dept,38.0753,0.2077,chi2,4.369754422e-184,656.7009,True,True,cat,cat,cat,3000
42,Region,IntersectionalID,SeniorityLevel,37.913,0.1897,chi2,1.459442636e-200,643.6237,True,True,cat,cat,cat,3000
43,IsIC,DepartmentType,PerfScore,37.3409,0.2011,chi2,2.065353353e-186,310.0704,True,True,cat,cat,cat,3000
44,IsIC,IntersectionalID,PerfScore,37.2166,0.2077,chi2,5.965384682e-180,380.9677,True,True,cat,cat,cat,3000
45,IsIC,DeptDiversityScore,is_minority_dept,36.913,0.1842,chi2,4.228389874e-201,636.6411,True,True,cat,num,cat,3000
46,IsManager,DepartmentType,is_minority_dept,33.7327,0.1766,chi2,1.053589735e-191,609.653,True,True,cat,cat,cat,3000
47,IsManager,IntersectionalID,is_minority_dept,33.6127,0.195,chi2,4.571930594e-173,628.2064,True,True,cat,cat,cat,3000
48,IsManager,DeptGenderRatio,is_minority_dept,32.9537,0.1726,chi2,1.053589735e-191,609.653,True,True,cat,num,cat,3000
49,IsManager,IntersectionalID,PerfScore,32.1271,0.195,chi2,1.892571777e-165,350.0499,True,True,cat,cat,cat,3000
50,IsManager,DepartmentType,PerfScore,32.023,0.1766,chi2,5.037485239e-182,310.8519,True,True,cat,cat,cat,3000
