outcome,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,has_interactions
is_terminated,LR_without,0.7037,0.0149,0.4572,0.0186,0.8351,0.017,True
is_terminated,LR_with,0.698,0.0133,0.4511,0.0164,0.8357,0.015,True
is_terminated,RF_without,0.8523,0.0124,0.1906,0.0413,0.8336,0.0186,True
is_terminated,RF_with,0.8537,0.0131,0.2006,0.0538,0.8293,0.0177,True
is_terminated,XGB_without,0.8477,0.0042,0.1505,0.0284,0.8375,0.0194,True
is_terminated,XGB_with,0.8517,0.0095,0.1767,0.044,0.8396,0.0235,True
PerfScore,LR_without,1.0,0.0,1.0,0.0,,0.0,True
PerfScore,LR_with,0.9987,0.0019,0.9987,0.0019,,0.0,True
PerfScore,RF_without,0.9993,0.0008,0.9993,0.0008,,0.0,True
PerfScore,RF_with,0.9847,0.0041,0.9841,0.0044,,0.0,True
PayZone_encoded,LR_without,0.3093,0.0163,0.3049,0.0176,,0.0,True
PayZone_encoded,LR_with,0.3037,0.0213,0.3,0.0215,,0.0,True
PayZone_encoded,RF_without,0.3333,0.0184,0.3328,0.019,,0.0,True
PayZone_encoded,RF_with,0.326,0.0157,0.3256,0.0165,,0.0,True
is_minority_dept,LR_without,0.5017,0.0284,0.5016,0.0246,0.5488,0.0259,True
is_minority_dept,LR_with,0.4934,0.0302,0.4959,0.0288,0.5365,0.0261,True
is_minority_dept,RF_without,0.5843,0.007,0.3994,0.0154,0.5606,0.0118,True
is_minority_dept,RF_with,0.582,0.0089,0.3993,0.0142,0.5557,0.0127,True
is_minority_dept,XGB_without,0.6137,0.0176,0.388,0.0107,0.5924,0.0162,True
is_minority_dept,XGB_with,0.6147,0.011,0.3957,0.0162,0.5904,0.0144,True
SeniorityLevel,LR_without,1.0,0.0,1.0,0.0,,0.0,True
SeniorityLevel,LR_with,1.0,0.0,1.0,0.0,,0.0,True
SeniorityLevel,RF_without,1.0,0.0,1.0,0.0,,0.0,True
SeniorityLevel,RF_with,1.0,0.0,1.0,0.0,,0.0,True
