feature_1,feature_2,n_outcomes,impact_mean,impact_std,impact_cv,impact_min,impact_max
Age,CareerStage,5,0.0,0.0,0.0,0.0,0.0
Age,DepartmentType,5,0.0425,0.0601,1.4137,-0.0,0.1537
Age,DeptDiversityScore,5,0.0002,0.0002,0.8165,-0.0,0.0004
Age,DeptGenderRatio,5,0.0001,0.0001,0.8165,-0.0,0.0002
Age,DivisionGroup,5,0.0002,0.0004,2.0,-0.0,0.001
Age,ExitQuarter,5,0.0002,0.0002,1.2373,-0.0,0.0005
Age,ExitYear,5,0.0001,0.0,0.8165,-0.0,0.0001
Age,GenderCode,5,0.0065,0.0092,1.4112,-0.0,0.0236
Age,Generation,5,0.0,0.0,0.0,0.0,0.0
Age,IntersectionalID,5,0.0567,0.1132,1.9974,-0.0,0.283
Age,IsExecutive,5,0.0,0.0,2.0,-0.0,0.0001
Age,IsIC,5,0.0104,0.0154,1.4847,-0.0,0.0398
Age,IsLongTenure,5,0.0,0.0,0.0,-0.0,-0.0
Age,IsManager,5,0.0646,0.0818,1.2673,-0.0,0.1947
Age,JobFamily,5,0.0408,0.0574,1.4077,-0.0,0.1467
Age,OrgLevel,5,0.0,0.0,0.0,-0.0,-0.0
Age,PerfScore,5,0.0002,0.0004,2.0,-0.0,0.0011
Age,RaceDesc,5,0.0001,0.0001,1.2649,-0.0,0.0003
Age,Region,5,0.0921,0.1304,1.4159,-0.0,0.3337
Age,SeniorityLevel,5,0.0016,0.0025,1.5122,-0.0,0.0064
Age,SpanOfControl,5,0.0,0.0,0.0,-0.0,-0.0
Age,StartQuarter,5,0.0003,0.0003,1.2308,-0.0,0.0007
Age,StartYear,5,0.0001,0.0001,0.8165,-0.0,0.0002
Age,TenureDays,5,0.0001,0.0,0.8165,-0.0,0.0001
Age,TenureVsAvg,5,0.0001,0.0,0.8165,-0.0,0.0001
Age,TenureYears,5,0.0001,0.0,0.8165,-0.0,0.0001
CareerStage,DepartmentType,5,0.0107,0.004,0.3735,0.0044,0.0162
CareerStage,DeptDiversityScore,5,0.043,0.0543,1.2643,-0.0,0.1287
CareerStage,DeptGenderRatio,5,0.0031,0.004,1.2639,-0.0,0.0094
CareerStage,DivisionGroup,5,0.0006,0.0003,0.5,0.0003,0.0011
CareerStage,ExitQuarter,5,0.0011,0.0004,0.3942,0.0006,0.0018
CareerStage,ExitYear,5,0.0001,0.0001,1.3333,-0.0,0.0002
CareerStage,GenderCode,5,0.0167,0.0072,0.4287,0.0083,0.0281
CareerStage,Generation,5,0.0,0.0,0.0,0.0,0.0
CareerStage,IntersectionalID,5,0.0322,0.0107,0.3318,0.0212,0.0478
CareerStage,IsExecutive,5,0.0008,0.0004,0.5756,-0.0,0.0013
CareerStage,IsIC,5,0.0036,0.0026,0.7155,-0.0,0.0079
CareerStage,IsLongTenure,5,0.0,0.0,0.0,-0.0,-0.0
CareerStage,IsManager,5,0.1165,0.0367,0.3147,0.0556,0.163
CareerStage,JobFamily,5,0.0093,0.0035,0.3756,0.0029,0.0132
CareerStage,OrgLevel,5,0.0008,0.0005,0.6899,0.0003,0.0018
CareerStage,PerfScore,5,0.0016,0.0013,0.8385,-0.0,0.0039
CareerStage,RaceDesc,5,0.0007,0.0004,0.6127,0.0002,0.0013
CareerStage,Region,5,0.0035,0.0012,0.333,0.0017,0.0051
CareerStage,SeniorityLevel,5,0.0023,0.0018,0.7676,-0.0,0.0055
CareerStage,SpanOfControl,5,0.0002,0.0001,0.4157,0.0001,0.0003
CareerStage,StartQuarter,5,0.0011,0.0004,0.3459,0.0007,0.0015
CareerStage,StartYear,5,0.0009,0.0012,1.3432,-0.0,0.0029
CareerStage,TenureVsAvg,5,0.0011,0.0022,1.9549,-0.0,0.0054
DeptDiversityScore,DepartmentType,5,0.0,0.0,0.0,-0.0,-0.0
DeptDiversityScore,ExitQuarter,5,0.0009,0.0015,1.6462,-0.0,0.0039
DeptDiversityScore,ExitYear,5,0.0034,0.0028,0.8165,-0.0,0.0057
DeptDiversityScore,GenderCode,5,0.0274,0.0548,2.0,-0.0,0.1369
DeptDiversityScore,IntersectionalID,5,0.0,0.0,0.0,-0.0,-0.0
DeptDiversityScore,PerfScore,5,0.1399,0.1725,1.2332,-0.0,0.3815
DeptDiversityScore,RaceDesc,5,0.0004,0.0006,1.258,-0.0,0.0013
DeptDiversityScore,StartQuarter,5,0.0002,0.0002,1.2247,-0.0,0.0005
DeptDiversityScore,StartYear,5,0.0004,0.0003,0.8165,-0.0,0.0007
DeptGenderRatio,DepartmentType,5,0.0,0.0,0.0,-0.0,-0.0
DeptGenderRatio,DeptDiversityScore,5,17.3606,14.1749,0.8165,-0.0,28.9343
