outcome,model,variant,acc_overall_mean,acc_overall_std,acc_min,acc_max,acc_range
PayZone_encoded,LR,with,0.3095,0.0082,0.2957,0.3253,0.0297
PayZone_encoded,LR,without,0.3104,0.0057,0.3037,0.3237,0.02
PayZone_encoded,RF,with,0.3314,0.0056,0.3257,0.343,0.0173
PayZone_encoded,RF,without,0.3234,0.0056,0.3123,0.3347,0.0223
PayZone_encoded,XGB,with,0.3153,0.0065,0.3063,0.3307,0.0243
PayZone_encoded,XGB,without,0.3157,0.006,0.3097,0.327,0.0173
PerfScore,LR,with,0.3178,0.0033,0.3127,0.3237,0.011
PerfScore,LR,without,0.2793,0.0031,0.2743,0.284,0.0097
PerfScore,RF,with,0.7381,0.0023,0.7347,0.7413,0.0067
PerfScore,RF,without,0.741,0.002,0.738,0.744,0.006
SeniorityLevel,LR,with,0.8509,0.0031,0.8457,0.856,0.0103
SeniorityLevel,LR,without,0.8158,0.0107,0.7997,0.835,0.0353
SeniorityLevel,RF,with,0.9667,0.0006,0.9657,0.9677,0.002
SeniorityLevel,RF,without,0.9462,0.0018,0.9437,0.9507,0.007
is_minority_dept,LR,with,0.542,0.0065,0.53,0.5493,0.0193
is_minority_dept,LR,without,0.5061,0.0048,0.4973,0.512,0.0147
is_minority_dept,RF,with,0.6003,0.0055,0.5917,0.61,0.0183
is_minority_dept,RF,without,0.5923,0.0051,0.5843,0.6033,0.019
is_minority_dept,XGB,with,0.6276,0.0059,0.618,0.6377,0.0197
is_minority_dept,XGB,without,0.6182,0.0054,0.608,0.6257,0.0177
is_terminated,LR,with,0.7371,0.0012,0.7353,0.7393,0.004
is_terminated,LR,without,0.7203,0.0012,0.718,0.7223,0.0043
is_terminated,RF,with,0.8549,0.002,0.852,0.8583,0.0063
is_terminated,RF,without,0.8544,0.002,0.852,0.8583,0.0063
is_terminated,XGB,with,0.8586,0.0031,0.8537,0.8653,0.0117
is_terminated,XGB,without,0.8556,0.0035,0.8513,0.8613,0.01
